lake.name,terrestrial.reads,wetland.reads,aquatic.reads,terrestrial.spp,wetland.spp,aquatic.spp,prop.terrestrial,prop.wetland,prop.aquatic
Long_Lake,97838,13459,19870,41,23,13,0.745904076,0.10260965,0.151486273
Fourth_Lake,83720,14552,26020,24,13,8,0.67357513,0.117079136,0.209345734
Austin_Lake,22941,5742,77048,29,10,9,0.216975154,0.05430763,0.728717216
Dumont_Lake,201935,15003,18540,32,23,13,0.857553572,0.063712958,0.07873347
Cass_Lake,49474,28637,80244,27,12,16,0.312424616,0.180840517,0.506734868
Thompson_Lake,7203,6433,88798,13,5,7,0.070318449,0.062801414,0.866880137
Holloway_Reservoir,244232,20623,20466,54,23,8,0.855990271,0.072279993,0.071729736
Haithco_Lake,120828,10025,67785,38,9,6,0.608282403,0.050468692,0.341248905
Pickerel_Lake,306846,1426,19056,21,11,9,0.937426679,0.004356486,0.058216834
Kimball_Lake,326615,2376,14195,26,12,12,0.951714231,0.006923359,0.04136241
Pentwater_Lake,466053,26321,59075,47,25,17,0.845142525,0.047730615,0.10712686
Lake_George,31516,2885,71497,27,11,12,0.297607131,0.027243196,0.675149672
Houghton_Lake,79861,17551,87865,28,7,11,0.431035693,0.094728434,0.474235874
Five_Channels_Impoundment,76218,3942,36744,28,15,16,0.651970848,0.033719975,0.314309177
Higgins_Lake,159686,74,9770,19,1,4,0.941933581,0.000436501,0.057629918
Torch_Lake,54743,3639,402,29,8,2,0.931256805,0.0619046,0.006838596
Walloon_Lake,256669,13159,14463,45,14,13,0.902838992,0.046287079,0.050873928
Ocqueoc_Lake,137861,5984,68232,43,22,18,0.650051632,0.028216167,0.321732201
Mullett_Lake,19651,5396,3288,8,3,7,0.69352391,0.190435857,0.116040233
Wycamp_Lake,14938,5787,13935,13,6,8,0.430986728,0.166964801,0.402048471
Brevort_Lake,8141,213,17905,20,4,10,0.310027038,0.008111505,0.681861457
Big_Manistique,122484,15238,4213,20,8,4,0.862958396,0.107359002,0.029682601