community ,lake,richness,shannon
Terrestrial,Austin.Lake,30,2.55
Terrestrial,Brevoort.Lake,20,1.86
Terrestrial,Cass.Lake,27,2.73
Terrestrial,Dumont.Lake,32,1.03
Terrestrial,Five.Channels.Dam.Pond,28,1.77
Terrestrial,Fourth.Lake,24,0.27
Terrestrial,Haithco.Lake,38,0.94
Terrestrial,Higgins.Lake,20,1.78
Terrestrial,Holloway.Reservoir,54,1.86
Terrestrial,Houghton.Lake,28,2
Terrestrial,Kimball.Lake,26,0.43
Terrestrial,Lake.George,27,1.63
Terrestrial,Long.Lake,42,1.11
Terrestrial,Manistique.Lake,20,1.98
Terrestrial,Mullet.Lake,8,1.12
Terrestrial,Ocqueoc.Lake,43,2.08
Terrestrial,Pentwater.Lake,47,0.64
Terrestrial,Pickerel.Lake,21,0.16
Terrestrial,Thompson.Lake,13,1.55
Terrestrial,Torch.Lake,29,2.29
Terrestrial,Walloon.Lake,45,1.97
Terrestrial,Wycamp.Lake,13,1.92
Wetland,Austin.Lake,10,1.41
Wetland,Brevoort.Lake,4,1.38
Wetland,Cass.Lake,12,1.52
Wetland,Dumont.Lake,23,1.9
Wetland,Five.Channels.Dam.Pond,16,1.16
Wetland,Fourth.Lake,13,1.29
Wetland,Haithco.Lake,9,1.3
Wetland,Higgins.Lake,2,0.63
Wetland,Holloway.Reservoir,23,1.79
Wetland,Houghton.Lake,8,0.79
Wetland,Kimball.Lake,12,1.87
Wetland,Lake.George,11,2.15
Wetland,Long.Lake,23,1.5
Wetland,Manistique.Lake,8,1.33
Wetland,Mullet.Lake,3,0.36
Wetland,Ocqueoc.Lake,23,2.43
Wetland,Pentwater.Lake,25,0.75
Wetland,Pickerel.Lake,11,1.9
Wetland,Thompson.Lake,5,1.16
Wetland,Torch.Lake,8,1.84
Wetland,Walloon.Lake,14,1.9
Wetland,Wycamp.Lake,6,0.63
Aquatic,Austin.Lake,9,0.71
Aquatic,Brevoort.Lake,10,1.65
Aquatic,Cass.Lake,16,1.99
Aquatic,Dumont.Lake,13,1.73
Aquatic,Five.Channels.Dam.Pond,16,1.86
Aquatic,Fourth.Lake,8,0.44
Aquatic,Haithco.Lake,6,1.17
Aquatic,Higgins.Lake,4,0.69
Aquatic,Holloway.Reservoir,8,0.77
Aquatic,Houghton.Lake,11,1.6
Aquatic,Kimball.Lake,12,1.42
Aquatic,Lake.George,12,1.42
Aquatic,Long.Lake,13,1.83
Aquatic,Manistique.Lake,4,1.02
Aquatic,Mullet.Lake,7,0.56
Aquatic,Ocqueoc.Lake,18,2.07
Aquatic,Pentwater.Lake,17,2.01
Aquatic,Pickerel.Lake,9,1.21
Aquatic,Thompson.Lake,7,1.12
Aquatic,Torch.Lake,2,0.66
Aquatic,Walloon.Lake,13,1.56
Aquatic,Wycamp.Lake,8,1.18