community,lake,richness,shannon
Terrestrial,Austin.Lake,29,2.536940092
Terrestrial,Big.Manistique,20,1.984369639
Terrestrial,Brevort.Lake,20,1.862857495
Terrestrial,Cass.Lake,26,2.66546691
Terrestrial,Dumont.Lake,32,1.028531895
Terrestrial,Five.Channels.Impoundment,28,1.76944387
Terrestrial,Fourth.Lake,24,0.269815694
Terrestrial,Haithco.Lake,37,0.943018697
Terrestrial,Higgins.Lake,21,1.784640489
Terrestrial,Holloway.Reservoir,54,1.863359144
Terrestrial,Houghton.Lake,29,2.001826498
Terrestrial,Kimball.Lake,26,0.431337759
Terrestrial,Lake.George,27,1.632115807
Terrestrial,Long.Lake,42,1.112292939
Terrestrial,Mullett.Lake,8,1.115515261
Terrestrial,Ocqueoc.Lake,43,2.083741799
Terrestrial,Pentwater.Lake,47,0.643469785
Terrestrial,Pickerel.Lake,21,0.163028416
Terrestrial,Thompson.Lake,12,1.396427799
Terrestrial,Torch.Lake,29,2.294209016
Terrestrial,Walloon.Lake,45,1.96746626
Terrestrial,Wycamp.Lake,13,1.918285851
Wetland,Austin.Lake,12,1.58180892
Wetland,Big.Manistique,8,1.326364499
Wetland,Brevort.Lake,3,1.094589687
Wetland,Cass.Lake,15,1.707977916
Wetland,Dumont.Lake,25,1.927680994
Wetland,Five.Channels.Impoundment,17,1.406527559
Wetland,Fourth.Lake,14,1.320114089
Wetland,Haithco.Lake,10,1.305967113
Wetland,Higgins.Lake,1,0
Wetland,Holloway.Reservoir,24,1.837356613
Wetland,Houghton.Lake,7,0.780258739
Wetland,Kimball.Lake,13,1.952443529
Wetland,Lake.George,11,2.147493434
Wetland,Long.Lake,25,1.513620291
Wetland,Mullett.Lake,2,0.314010659
Wetland,Ocqueoc.Lake,26,2.597501836
Wetland,Pentwater.Lake,26,0.824902026
Wetland,Pickerel.Lake,11,1.897468312
Wetland,Thompson.Lake,6,1.33489062
Wetland,Torch.Lake,8,1.844792273
Wetland,Walloon.Lake,15,1.893223353
Wetland,Wycamp.Lake,6,0.627272887
Aquatic,Austin.Lake,8,0.69131274
Aquatic,Big.Manistique,4,1.015254555
Aquatic,Brevort.Lake,11,1.671069224
Aquatic,Cass.Lake,14,1.969834682
Aquatic,Dumont.Lake,11,1.714282755
Aquatic,Five.Channels.Impoundment,15,1.803390115
Aquatic,Fourth.Lake,7,0.410541203
Aquatic,Haithco.Lake,6,1.172556129
Aquatic,Higgins.Lake,4,0.694474356
Aquatic,Holloway.Reservoir,7,0.709746795
Aquatic,Houghton.Lake,11,1.60008173
Aquatic,Kimball.Lake,11,1.390722128
Aquatic,Lake.George,12,1.424875086
Aquatic,Long.Lake,11,1.816777581
Aquatic,Mullett.Lake,8,0.632701057
Aquatic,Ocqueoc.Lake,15,2.018336907
Aquatic,Pentwater.Lake,16,1.983432126
Aquatic,Pickerel.Lake,9,1.21154893
Aquatic,Thompson.Lake,7,1.12432113
Aquatic,Torch.Lake,2,0.657968705
Aquatic,Walloon.Lake,12,1.557799734
Aquatic,Wycamp.Lake,8,1.178205329