lake name,habitat,proportion,species.richness
Long,terrestrial,0.745927321,42
Long,wetland,0.102889944,25
Long,aquatic,0.151182735,11
Fourth,terrestrial,0.67357513,24
Fourth,wetland,0.117948058,14
Fourth,aquatic,0.208476813,7
Austin,terrestrial,0.237856532,29
Austin,wetland,0.056272477,12
Austin,aquatic,0.705870991,8
Dumont,terrestrial,0.857553572,32
Dumont,wetland,0.064010226,25
Dumont,aquatic,0.078436202,11
Cass,terrestrial,0.297502447,26
Cass,wetland,0.197335102,15
Cass,aquatic,0.505162451,14
Thompson,terrestrial,0.065593455,12
Thompson,wetland,0.067526407,6
Thompson,aquatic,0.866880137,7
Holloway Reservoir,terrestrial,0.855990271,54
Holloway Reservoir,wetland,0.073201762,24
Holloway Reservoir,aquatic,0.070807967,7
Haithco,terrestrial,0.608227026,37
Haithco,wetland,0.050524069,10
Haithco,aquatic,0.341248905,6
Pickerel,terrestrial,0.937426679,21
Pickerel,wetland,0.004356486,11
Pickerel,aquatic,0.058216834,9
Kimball,terrestrial,0.951714231,26
Kimball,wetland,0.007171038,13
Kimball,aquatic,0.041114731,11
Pentwater,terrestrial,0.845142525,47
Pentwater,wetland,0.048613743,26
Pentwater,aquatic,0.106243732,16
George,terrestrial,0.297607131,27
George,wetland,0.027243196,11
George,aquatic,0.675149672,12
Houghton,terrestrial,0.431112454,29
Houghton,wetland,0.094715653,7
Houghton,aquatic,0.474171892,11
Five Channels,terrestrial,0.65178686,28
Five Channels,wetland,0.03944004,17
Five Channels,aquatic,0.3087731,15
Higgins,terrestrial,0.942157744,21
Higgins,wetland,0.000434816,1
Higgins,aquatic,0.05740744,4
Torch,terrestrial,0.931256805,29
Torch,wetland,0.0619046,8
Torch,aquatic,0.006838596,2
Walloon,terrestrial,0.902838992,45
Walloon,wetland,0.046213211,15
Walloon,aquatic,0.050947796,12
Ocqueoc,terrestrial,0.647243858,43
Ocqueoc,wetland,0.03681742,26
Ocqueoc,aquatic,0.315938722,15
Mullett,terrestrial,0.69352391,8
Mullett,wetland,0.188671255,2
Mullett,aquatic,0.117804835,8
Wycamp,terrestrial,0.430986728,13
Wycamp,wetland,0.166964801,6
Wycamp,aquatic,0.402048471,8
Brevort,terrestrial,0.310027038,20
Brevort,wetland,0.005674245,3
Brevort,aquatic,0.684298717,11
Big Manistique,terrestrial,0.862958396,20
Big Manistique,wetland,0.107359002,8
Big Manistique,aquatic,0.029682601,4